Squad,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,season,country
Ath Paranaense,16069,19726,81.5,289739,103668,6906,7756,89.0,6566,7637,86.0,1913,3093,61.8,32,48.2,41.4,-16.2,455,1420,336,97,1772,2019,BR
Atlético Mineiro,14436,18064,79.9,241402,90768,7223,8020,90.1,5246,6274,83.6,1376,2607,52.8,26,41.2,32.6,-15.2,428,1193,316,68,1538,2019,BR
Avaí,12593,16439,76.6,225823,87317,5662,6498,87.1,5269,6381,82.6,1379,2648,52.1,9,23.3,22.2,-14.3,323,1103,175,66,1422,2019,BR
Bahia,12818,16564,77.4,229593,87433,5602,6499,86.2,5487,6603,83.1,1333,2516,53.0,24,35.4,28.8,-11.4,376,1135,254,83,1512,2019,BR
Botafogo (RJ),14223,17550,81.0,251304,88040,6298,6976,90.3,5894,6868,85.8,1531,2686,57.0,22,27.9,24.5,-5.9,289,854,183,67,1187,2019,BR
Ceará,12112,15897,76.2,213334,80931,5497,6341,86.7,4902,5978,82.0,1305,2555,51.1,24,32.5,28.3,-8.5,351,1036,271,74,1545,2019,BR
Chapecoense,11300,14787,76.4,207270,82670,5009,5721,87.6,4320,5266,82.0,1492,2759,54.1,22,30.0,21.1,-8.0,402,813,197,94,1175,2019,BR
Corinthians,14639,18190,80.5,257522,96930,6609,7451,88.7,6042,7069,85.5,1529,2671,57.2,26,30.5,26.6,-4.5,373,1137,271,102,1539,2019,BR
Cruzeiro,15242,18869,80.8,268954,100336,6967,7832,89.0,6417,7477,85.8,1511,2650,57.0,17,32.9,33.2,-15.9,381,1458,303,83,1840,2019,BR
CSA,10769,13965,77.1,200772,77308,4560,5199,87.7,4507,5382,83.7,1390,2618,53.1,15,25.0,22.1,-10.0,313,742,172,66,1070,2019,BR
Flamengo,16698,20202,82.7,286378,97859,7705,8594,89.7,6772,7800,86.8,1633,2568,63.6,64,63.2,52.8,0.8,455,1459,407,81,1992,2019,BR
Fluminense,18213,21495,84.7,293368,97831,9369,10187,92.0,6840,7809,87.6,1397,2295,60.9,20,40.8,35.7,-20.8,452,1347,377,98,1870,2019,BR
Fortaleza,12481,15606,80.0,242612,86628,4747,5441,87.2,5658,6604,85.7,1758,2804,62.7,33,33.6,25.4,-0.6,320,933,188,74,1267,2019,BR
Goiás,10506,13996,75.1,194683,75013,4516,5228,86.4,4303,5223,82.4,1347,2711,49.7,25,31.4,23.4,-6.4,347,995,187,68,1213,2019,BR
Grêmio,18106,21513,84.2,303687,98477,8670,9440,91.8,7203,8192,87.9,1595,2615,61.0,48,38.9,35.7,9.1,382,1510,260,55,1759,2019,BR
Internacional,16412,20116,81.6,281474,96925,7691,8470,90.8,6370,7478,85.2,1722,2916,59.1,25,37.6,33.8,-12.6,398,1167,321,85,1608,2019,BR
Palmeiras,12959,16277,79.6,233068,88209,5715,6447,88.6,5221,6171,84.6,1508,2601,58.0,42,44.5,36.2,-2.5,436,1099,316,97,1550,2019,BR
Santos,15131,18739,80.7,266817,90731,6961,7797,89.3,6173,7213,85.6,1634,2761,59.2,39,43.4,35.2,-4.4,412,1178,258,56,1695,2019,BR
São Paulo,15520,19033,81.5,252326,88820,7901,8758,90.2,5661,6597,85.8,1297,2349,55.2,32,34.7,32.9,-2.7,410,1126,270,63,1494,2019,BR
Vasco da Gama,11772,15252,77.2,209119,80561,5364,6133,87.5,4591,5516,83.2,1380,2604,53.0,20,35.9,25.8,-15.9,365,931,226,77,1317,2019,BR
Arsenal,16634,20410,81.5,292657,94450,7259,8103,89.6,7300,8331,87.6,1596,2772,57.6,35,31.4,28.5,3.6,298,1164,311,63,1641,2019,EN
Aston Villa,11652,15672,74.3,217478,84204,5074,5895,86.1,4810,5882,81.8,1480,3002,49.3,32,34.2,27.7,-2.2,369,908,270,95,1247,2019,EN
Bournemouth,12042,16387,73.5,208869,82509,5798,6832,84.9,4689,5821,80.6,1231,2655,46.4,24,30.6,25.7,-6.6,280,921,227,49,1256,2019,EN
Brighton,15881,20056,79.2,290667,102483,6755,7803,86.6,7139,8265,86.4,1701,3003,56.6,24,31.6,27.3,-7.6,343,1124,294,62,1675,2019,EN
Burnley,10049,14694,68.4,181797,76083,4700,5595,84.0,3686,4854,75.9,1295,3221,40.2,30,32.4,28.5,-2.4,280,787,217,99,890,2019,EN
Chelsea,20958,25213,83.1,352088,108966,9753,10903,89.5,8527,9698,87.9,1843,2989,61.7,46,46.7,42.3,-0.7,459,1463,411,108,1897,2019,EN
Crystal Palace,12274,16395,74.9,212859,86923,5857,6822,85.9,4679,5712,81.9,1307,2747,47.6,20,26.0,24.4,-6.0,265,910,243,47,1223,2019,EN
Everton,13433,17736,75.7,248821,94797,5670,6722,84.3,5545,6642,83.5,1728,3126,55.3,32,38.1,31.5,-6.1,340,987,288,93,1430,2019,EN
Leicester City,17600,21800,80.7,304569,102390,8018,9016,88.9,7415,8600,86.2,1655,2913,56.8,48,44.9,35.3,3.1,405,1283,313,72,1612,2019,EN
Liverpool,21276,25891,82.2,370796,117058,9557,10648,89.8,9007,10345,87.1,2038,3458,58.9,69,53.0,46.8,16.0,454,1630,477,93,1941,2019,EN
Manchester City,24557,28190,87.1,410039,117432,11773,12714,92.6,9821,10885,90.2,2121,2963,71.6,69,68.4,62.7,0.6,582,1819,553,89,2460,2019,EN
Manchester Utd,17744,21725,81.7,294732,95208,8697,9751,89.2,6891,7957,86.6,1555,2646,58.8,43,38.5,36.2,4.5,402,1350,341,50,1788,2019,EN
Newcastle Utd,10606,14566,72.8,189511,75573,4963,5792,85.7,3781,4800,78.8,1351,2818,47.9,29,26.9,19.1,2.1,299,685,181,62,844,2019,EN
Norwich City,14965,18869,79.3,243176,86282,7717,8664,89.1,5301,6196,85.6,1336,2696,49.6,18,27.4,23.6,-9.4,304,913,210,32,1169,2019,EN
Sheffield Utd,12125,16858,71.9,222335,83887,5714,6687,85.4,4480,5657,79.2,1579,3404,46.4,25,34.0,29.7,-9.0,269,1053,282,97,1352,2019,EN
Southampton,12488,17468,71.5,218809,83466,5869,7035,83.4,5027,6478,77.6,1240,2921,42.5,32,36.4,28.7,-4.4,340,1019,282,70,1335,2019,EN
Tottenham,16101,20296,79.3,268557,90635,7859,8877,88.5,6303,7463,84.5,1350,2655,50.8,39,32.6,28.2,6.4,339,1077,283,47,1410,2019,EN
Watford,11230,15775,71.2,192764,78762,5578,6640,84.0,3901,5075,76.9,1244,2868,43.4,21,31.4,27.6,-10.4,303,848,253,69,1168,2019,EN
West Ham,12451,16861,73.8,221660,89417,6048,7124,84.9,4538,5680,79.9,1515,2997,50.6,36,36.7,33.4,-0.7,328,1083,244,80,1377,2019,EN
Wolves,14298,18474,77.4,266628,97026,5979,6942,86.1,5777,6928,83.4,1985,3308,60.0,34,37.5,30.0,-3.5,339,1015,223,83,1338,2019,EN
Alavés,9612,13973,68.8,182169,82570,4283,5328,80.4,3614,4788,75.5,1385,2920,47.4,20,26.9,22.0,-6.9,236,723,171,56,944,2019,SP
Athletic Club,12533,16915,74.1,234527,90251,5521,6494,85.0,4692,5831,80.5,1830,3367,54.4,23,26.2,25.2,-3.2,277,967,217,85,1291,2019,SP
Atlético Madrid,13595,17765,76.5,221969,88361,6783,7777,87.2,4581,5696,80.4,1344,2676,50.2,35,39.4,37.1,-4.4,330,904,289,49,1333,2019,SP
Barcelona,24758,28227,87.7,391043,120014,12607,13663,92.3,9115,9972,91.4,1889,2618,72.2,62,49.5,51.2,12.5,384,1827,417,31,2042,2019,SP
Betis,16182,19823,81.6,284815,94491,7354,8220,89.5,6504,7416,87.7,1774,2986,59.4,35,36.9,33.8,-1.9,360,1015,322,84,1475,2019,SP
Celta Vigo,14552,18557,78.4,249113,90321,6742,7687,87.7,5746,6750,85.1,1422,2704,52.6,26,26.2,26.2,-0.2,279,970,253,60,1364,2019,SP
Eibar,10439,15551,67.1,207816,83924,4422,5456,81.0,4008,5354,74.9,1713,3829,44.7,24,26.0,26.3,-2.0,292,1007,224,108,1265,2019,SP
Espanyol,11881,16363,72.6,224795,87287,4830,5791,83.4,5174,6369,81.2,1528,3235,47.2,17,27.3,26.7,-10.3,283,962,222,86,1240,2019,SP
Getafe,8319,13715,60.7,165204,78265,3535,4713,75.0,2977,4408,67.5,1466,3508,41.8,31,27.9,26.6,3.1,284,970,275,130,1196,2019,SP
Granada,9810,14105,69.5,190418,79655,3970,4840,82.0,3979,5089,78.2,1486,3136,47.4,34,30.5,26.2,3.5,275,822,176,69,1009,2019,SP
Leganés,10336,14838,69.7,189358,81026,4801,5718,84.0,3782,4953,76.4,1390,3161,44.0,19,27.7,25.4,-8.7,292,890,223,95,1165,2019,SP
Levante,12415,16332,76.0,226838,91955,5677,6494,87.4,4771,5765,82.8,1611,3073,52.4,28,36.3,27.2,-8.3,326,983,253,75,1358,2019,SP
Mallorca,11782,15636,75.4,202286,85060,5648,6558,86.1,4220,5197,81.2,1275,2576,49.5,21,25.4,26.6,-4.4,309,831,211,73,1210,2019,SP
Osasuna,10959,15904,68.9,208476,88813,4772,5858,81.5,4189,5547,75.5,1654,3435,48.2,26,34.4,29.5,-8.4,341,946,267,94,1359,2019,SP
Real Madrid,20107,23733,84.7,352395,113608,9829,10697,91.9,7274,8243,88.2,2405,3556,67.6,52,49.9,47.3,2.1,438,1548,400,100,1972,2019,SP
Real Sociedad,15989,20229,79.0,284541,99278,6898,7968,86.6,7100,8250,86.1,1568,2851,55.0,38,35.4,34.4,2.6,323,1136,327,86,1588,2019,SP
Sevilla,17525,21733,80.6,319775,106262,7645,8604,88.9,7011,8197,85.5,2222,3526,63.0,35,38.4,39.4,-3.4,359,1272,343,110,1823,2019,SP
Valencia,14490,18258,79.4,261347,90968,6320,7145,88.5,5926,6878,86.2,1705,3096,55.1,34,31.7,29.7,2.3,253,974,273,59,1378,2019,SP
Valladolid,11187,15457,72.4,210278,81923,4901,5779,84.8,4401,5426,81.1,1531,3230,47.4,19,24.0,20.5,-5.0,254,841,155,57,1106,2019,SP
Villarreal,16218,20045,80.9,294996,98849,7011,7907,88.7,6626,7599,87.2,2025,3322,61.0,40,43.1,37.4,-3.1,368,1112,276,75,1483,2019,SP
Augsburg,8439,12287,68.7,157794,67041,3561,4445,80.1,3403,4308,79.0,1149,2545,45.1,29,29.7,22.9,-0.7,256,542,169,53,815,2019,GE
Bayern Munich,20587,24273,84.8,362049,120150,9119,10103,90.3,8654,9667,89.5,2153,3150,68.3,75,73.1,80.1,1.9,481,1717,498,120,2300,2019,GE
Dortmund,20601,24071,85.6,342695,106977,9954,10940,91.0,8099,8993,90.1,1812,2720,66.6,74,50.6,46.4,23.4,358,1269,308,41,1736,2019,GE
Düsseldorf,11367,15164,75.0,222976,87520,4518,5356,84.4,4852,5895,82.3,1737,3065,56.7,26,24.2,23.8,1.8,297,902,213,75,1268,2019,GE
Eint Frankfurt,12302,16602,74.1,230242,95308,5138,6124,83.9,5233,6456,81.1,1567,2924,53.6,45,44.8,45.6,0.2,374,1052,283,128,1389,2019,GE
Freiburg,12085,15762,76.7,233308,88480,4600,5443,84.5,5555,6461,86.0,1586,2893,54.8,27,33.0,31.3,-6.0,323,825,226,95,1128,2019,GE
Gladbach,14321,17974,79.7,253262,94657,6206,7130,87.0,6115,7119,85.9,1530,2580,59.3,53,53.6,44.7,-0.6,353,940,277,55,1305,2019,GE
Hertha BSC,11361,14961,75.9,224357,85887,4388,5188,84.6,4939,5960,82.9,1735,2940,59.0,35,32.7,29.0,2.3,270,768,185,69,1073,2019,GE
Hoffenheim,14392,17932,80.3,255561,95532,6337,7147,88.7,6193,7124,86.9,1471,2658,55.3,36,40.2,34.2,-4.2,345,925,256,75,1261,2019,GE
Köln,11195,15108,74.1,219640,90475,4315,5172,83.4,4871,5973,81.6,1721,3025,56.9,38,35.6,33.3,2.4,309,806,249,96,1158,2019,GE
Leverkusen,19042,22954,83.0,331206,109589,8525,9522,89.5,7998,8988,89.0,1891,3030,62.4,48,48.6,44.9,-0.6,394,1106,253,55,1471,2019,GE
Mainz 05,10245,13997,73.2,190213,79210,4413,5233,84.3,4136,5160,80.2,1356,2664,50.9,34,37.4,32.8,-3.4,340,809,230,65,1146,2019,GE
Paderborn 07,11502,15172,75.8,215740,84031,4614,5427,85.0,4945,5926,83.4,1562,2706,57.7,26,26.8,22.4,-0.8,305,752,139,46,1009,2019,GE
RB Leipzig,16241,20063,81.0,269438,99769,7531,8560,88.0,6424,7396,86.9,1421,2450,58.0,58,54.4,51.1,3.6,428,1263,339,67,1700,2019,GE
Schalke 04,12014,15752,76.3,219684,81535,5052,5932,85.2,5073,6019,84.3,1474,2721,54.2,25,25.5,25.8,-0.5,274,835,212,36,1201,2019,GE
Union Berlin,9451,13664,69.2,179191,83697,3969,4928,80.5,3643,4732,77.0,1395,2884,48.4,27,28.0,28.6,-1.0,278,776,182,78,944,2019,GE
Werder Bremen,12893,16729,77.1,229582,88246,5787,6722,86.1,5333,6410,83.2,1401,2555,54.8,30,25.8,30.0,4.2,320,923,237,67,1309,2019,GE
Wolfsburg,11610,15677,74.1,222405,87941,4532,5502,82.4,5009,6105,82.0,1663,2975,55.9,33,37.9,35.4,-4.9,347,884,238,67,1247,2019,GE
Atalanta,17945,21860,82.1,301978,102774,8671,9684,89.5,6817,7927,86.0,1732,2818,61.5,68,58.9,46.2,9.1,535,1291,440,99,1867,2019,IT
Bologna,14608,18465,79.1,251345,95729,6955,7886,88.2,5859,6959,84.2,1377,2513,54.8,31,41.3,30.8,-10.3,418,1201,293,67,1672,2019,IT
Brescia,10833,14648,74.0,195788,80646,4731,5583,84.7,4291,5316,80.7,1347,2595,51.9,22,28.8,26.9,-6.8,288,830,253,78,1241,2019,IT
Cagliari,13131,16868,77.8,245291,89789,5524,6270,88.1,5722,6815,84.0,1629,2973,54.8,34,32.0,26.6,2.0,344,984,246,87,1288,2019,IT
Fiorentina,13589,17172,79.1,245422,91397,5835,6615,88.2,5843,6843,85.4,1535,2737,56.1,30,34.5,32.9,-4.5,420,1124,298,81,1446,2019,IT
Genoa,14305,18157,78.8,249032,93026,6586,7416,88.8,5724,6778,84.4,1490,2775,53.7,28,27.6,26.7,0.4,301,937,292,103,1280,2019,IT
Hellas Verona,13348,17641,75.7,234676,89110,5993,6965,86.0,5423,6571,82.5,1411,2861,49.3,27,34.5,29.7,-7.5,332,1084,319,70,1575,2019,IT
Inter,17232,20842,82.7,312663,106571,7232,8059,89.7,7508,8587,87.4,1989,2948,67.5,57,44.0,41.2,13.0,449,1301,400,98,1820,2019,IT
Juventus,20149,23408,86.1,332903,110593,9684,10473,92.5,7782,8664,89.8,1816,2715,66.9,47,45.5,38.0,1.5,501,1629,336,70,1746,2019,IT
Lazio,15875,19415,81.8,281345,100800,7130,8009,89.0,6201,7132,86.9,1924,2976,64.7,45,42.5,35.9,2.5,434,1334,393,103,1668,2019,IT
Lecce,13640,17104,79.7,254310,95358,5858,6659,88.0,5711,6659,85.8,1798,2925,61.5,30,32.6,30.1,-2.6,387,925,331,131,1356,2019,IT
Milan,17070,20701,82.5,294450,103334,8007,8954,89.4,6904,7872,87.7,1657,2775,59.7,38,46.0,38.9,-8.0,476,1346,377,83,1717,2019,IT
Napoli,21173,24596,86.1,336874,107510,11037,11917,92.6,7649,8622,88.7,1658,2522,65.7,45,46.8,40.7,-1.8,543,1566,414,86,2024,2019,IT
Parma,12193,15756,77.4,236592,93205,4947,5720,86.5,4989,5959,83.7,1912,3155,60.6,38,33.9,23.5,4.1,339,881,230,56,1227,2019,IT
Roma,15972,19325,82.6,301750,102768,6509,7265,89.6,7241,8199,88.3,2006,3078,65.2,47,48.6,41.8,-1.6,477,1236,344,79,1651,2019,IT
Sampdoria,11918,15949,74.7,214283,86568,5325,6195,86.0,4861,6016,80.8,1364,2726,50.0,25,30.8,27.2,-5.8,400,1004,300,114,1369,2019,IT
Sassuolo,18601,21873,85.0,298108,98300,9815,10667,92.0,7058,7896,89.4,1294,2223,58.2,49,39.2,31.7,9.8,423,1274,294,35,1590,2019,IT
SPAL,13281,16878,78.7,236868,94077,6176,6950,88.9,5308,6326,83.9,1489,2773,53.7,17,26.5,24.4,-9.5,347,1060,222,65,1236,2019,IT
Torino,12572,16330,77.0,234941,88714,5436,6295,86.4,5089,6068,83.9,1728,3026,57.1,29,30.3,26.4,-1.3,338,852,297,135,1220,2019,IT
Udinese,13373,16971,78.8,235092,90315,6100,6891,88.5,5340,6354,84.0,1478,2657,55.6,26,33.5,25.9,-7.5,362,937,276,99,1274,2019,IT
Ath Paranaense,16215,19615,82.7,318724,107278,6149,6919,88.9,7551,8389,90.0,2286,3515,65.0,27,32.6,27.3,-5.6,328,1352,232,65,1622,2020,BR
Atl Goianiense,12096,15836,76.4,238289,90067,4644,5483,84.7,5431,6458,84.1,1777,3084,57.6,31,34.2,28.0,-3.2,341,1171,252,86,1424,2020,BR
Atlético Mineiro,19269,23076,83.5,347849,119409,8182,9047,90.4,8987,10128,88.7,1860,3115,59.7,42,45.5,40.8,-3.5,465,1930,365,90,2219,2020,BR
Bahia,13366,16850,79.3,239213,90335,5853,6672,87.7,5805,6793,85.5,1412,2533,55.7,35,38.7,30.0,-3.7,384,1215,236,74,1506,2020,BR
Botafogo (RJ),13651,17068,80.0,256779,95809,5558,6277,88.5,6159,7174,85.9,1688,2861,59.0,17,34.1,32.0,-17.1,376,1187,271,92,1427,2020,BR
Ceará,11805,15342,76.9,219074,84145,5026,5824,86.3,4994,5972,83.6,1467,2709,54.2,37,36.4,28.3,0.6,338,1140,221,59,1344,2020,BR
Corinthians,14399,18282,78.8,261218,100791,6470,7425,87.1,6116,7187,85.1,1577,2860,55.1,34,31.6,28.5,2.4,356,1320,293,69,1639,2020,BR
Coritiba,13559,17018,79.7,256706,93172,5476,6199,88.3,6105,7060,86.5,1715,2921,58.7,21,27.2,22.5,-6.2,286,1051,214,69,1286,2020,BR
Flamengo,18680,22186,84.2,335228,112160,8135,9028,90.1,8417,9509,88.5,1853,2785,66.5,50,57.8,53.7,-7.8,437,1823,428,84,2171,2020,BR
Fluminense,13994,17500,80.0,251512,88418,6076,6892,88.2,6000,6972,86.1,1523,2669,57.1,34,27.9,28.2,6.1,320,1115,226,54,1349,2020,BR
Fortaleza,13999,17297,80.9,276704,95054,5066,5794,87.4,6755,7687,87.9,1941,3126,62.1,24,30.8,27.2,-6.8,312,1261,183,49,1396,2020,BR
Goiás,11101,14746,75.3,210674,86817,4764,5572,85.5,4545,5552,81.9,1510,2845,53.1,21,25.1,25.0,-4.1,295,952,176,68,1099,2020,BR
Grêmio,16727,20153,83.0,281227,98232,8258,9118,90.6,6532,7504,87.0,1473,2495,59.0,35,39.6,38.1,-4.6,389,1460,299,94,1598,2020,BR
Internacional,13561,17420,77.8,256209,87179,5500,6326,86.9,6146,7164,85.8,1672,3145,53.2,40,35.4,31.9,4.6,328,1174,241,94,1391,2020,BR
Palmeiras,15040,18595,80.9,286751,102277,5966,6717,88.8,6863,7840,87.5,1919,3230,59.4,33,37.1,30.7,-4.1,384,1327,258,66,1606,2020,BR
Red Bull Bragantino,13842,17687,78.3,257249,99495,5776,6637,87.0,6197,7315,84.7,1598,2916,54.8,35,36.6,37.2,-1.6,451,1368,291,80,1701,2020,BR
Santos,12965,16493,78.6,241644,87450,5129,5898,87.0,6048,7066,85.6,1520,2772,54.8,32,32.3,32.3,-0.3,299,969,217,90,1346,2020,BR
São Paulo,17906,21467,83.4,301619,103261,8908,9750,91.4,7093,8050,88.1,1530,2680,57.1,36,36.2,33.5,-0.2,397,1462,331,125,1692,2020,BR
Sport Recife,12552,16277,77.1,225278,84727,5563,6378,87.2,5311,6282,84.5,1332,2700,49.3,18,21.2,23.1,-3.2,265,1036,224,77,1347,2020,BR
Vasco da Gama,13379,16771,79.8,244733,85250,5637,6426,87.7,5909,6839,86.4,1497,2645,56.6,20,26.8,24.1,-6.8,279,1082,186,60,1294,2020,BR
Arsenal,18041,21807,82.7,306094,93540,8319,9236,90.1,7770,8814,88.2,1453,2621,55.4,38,35.1,35.3,2.9,332,1377,325,67,1760,2020,EN
Aston Villa,12938,16996,76.1,235927,93009,5729,6654,86.1,5222,6209,84.1,1571,3074,51.1,38,37.4,31.4,0.6,403,1086,323,76,1420,2020,EN
Brighton,15772,19871,79.4,283213,95248,6694,7654,87.5,6893,7960,86.6,1689,3090,54.7,24,33.2,34.9,-9.2,358,1132,358,80,1516,2020,EN
Burnley,10825,15562,69.6,196816,82192,5117,6058,84.5,3688,4824,76.5,1553,3535,43.9,20,27.7,26.9,-7.7,267,923,292,80,1012,2020,EN
Chelsea,21969,25799,85.2,360450,112392,10454,11454,91.3,8965,9976,89.9,1667,2703,61.7,38,41.5,37.1,-3.5,448,1441,377,70,1798,2020,EN
Crystal Palace,11627,15597,74.5,193706,81274,5889,6882,85.6,4127,5088,81.1,1131,2449,46.2,29,23.6,23.4,5.4,264,838,232,54,1132,2020,EN
Everton,14792,18696,79.1,263227,93921,6563,7438,88.2,6125,7073,86.6,1580,2924,54.0,32,30.7,28.7,1.3,300,944,257,60,1184,2020,EN
Fulham,15401,19512,78.9,270640,94395,6853,7837,87.4,6528,7611,85.8,1529,2866,53.3,18,26.3,25.3,-8.3,334,1019,290,94,1354,2020,EN
Leeds United,16284,20629,78.9,286488,99274,6970,7933,87.9,7130,8308,85.8,1631,3014,54.1,45,41.9,34.4,3.1,394,1110,349,68,1633,2020,EN
Leicester City,17014,21216,80.2,285395,94092,7893,8978,87.9,7010,8113,86.4,1461,2737,53.4,45,33.7,30.1,11.3,360,1209,283,57,1464,2020,EN
Liverpool,21929,26226,83.6,360990,115400,10789,11862,91.0,8747,9940,88.0,1715,2969,57.8,43,48.3,45.6,-5.3,455,1608,524,82,2057,2020,EN
Manchester City,23819,27167,87.7,390212,110951,11548,12409,93.1,9673,10628,91.0,1771,2616,67.7,55,45.4,43.3,9.6,433,1772,412,41,2051,2020,EN
Manchester Utd,18800,22624,83.1,310438,100811,9248,10259,90.1,7258,8255,87.9,1597,2585,61.8,51,41.6,38.2,9.4,414,1419,377,54,1832,2020,EN
Newcastle Utd,10839,14709,73.7,197161,77098,4828,5635,85.7,4197,5131,81.8,1387,2879,48.2,26,29.0,21.1,-3.0,289,739,207,83,903,2020,EN
Sheffield Utd,12146,16264,74.7,207510,78589,6006,6905,87.0,4331,5303,81.7,1277,2840,45.0,13,24.9,22.0,-11.9,253,946,253,65,1196,2020,EN
Southampton,14928,19288,77.4,239028,85450,7587,8659,87.6,5629,6690,84.1,1099,2547,43.1,33,25.8,22.2,7.2,294,894,261,36,1195,2020,EN
Tottenham,16508,20571,80.2,274912,94098,7801,8828,88.4,6561,7603,86.3,1393,2672,52.1,50,35.3,25.3,14.7,316,1035,257,54,1330,2020,EN
West Brom,9769,13978,69.9,177501,75746,4418,5278,83.7,3696,4783,77.3,1273,2924,43.5,20,24.4,21.3,-4.4,241,822,196,60,1027,2020,EN
West Ham,12725,16901,75.3,225666,88791,5888,6864,85.8,4948,6052,81.8,1470,2860,51.4,46,39.6,31.9,6.4,340,1037,238,95,1282,2020,EN
Wolves,15548,19225,80.9,275061,93014,6990,7796,89.7,6320,7342,86.1,1742,2944,59.2,21,24.1,23.9,-3.1,345,1117,213,85,1283,2020,EN
Alavés,10216,14388,71.0,196775,86618,4463,5484,81.4,4016,5139,78.1,1482,2923,50.7,21,27.4,21.0,-6.4,256,789,189,82,938,2020,SP
Athletic Club,13578,17842,76.1,251137,91456,5873,6901,85.1,5483,6607,83.0,1792,3120,57.4,31,31.3,27.9,-0.3,303,1054,284,79,1496,2020,SP
Atlético Madrid,16757,20680,81.0,276506,95008,8278,9219,89.8,5931,6995,84.8,1653,2869,57.6,54,40.6,38.8,13.4,347,1144,370,53,1604,2020,SP
Barcelona,25192,28488,88.4,384110,119170,13304,14257,93.3,9056,9893,91.5,1599,2287,69.9,51,53.2,63.6,-2.2,452,1874,517,52,2157,2020,SP
Betis,15814,19679,80.4,273398,94327,7403,8309,89.1,6096,7037,86.6,1672,3002,55.7,35,33.4,30.5,1.6,334,1048,298,80,1441,2020,SP
Cádiz,7949,12067,65.9,158876,72248,3244,4091,79.3,3064,4071,75.3,1319,2992,44.1,16,20.4,16.9,-4.4,196,653,152,73,854,2020,SP
Celta Vigo,15176,19318,78.6,263065,91357,6912,7946,87.0,6117,7188,85.1,1552,2914,53.3,39,36.7,32.0,2.3,267,978,248,48,1308,2020,SP
Eibar,11810,16890,69.9,234607,92605,4840,5844,82.8,4584,5965,76.8,2002,4026,49.7,20,29.9,28.5,-9.9,309,1119,254,118,1295,2020,SP
Elche,13481,17054,79.0,244074,94227,6028,6753,89.3,5307,6190,85.7,1652,3000,55.1,25,21.8,19.8,3.2,190,784,148,79,927,2020,SP
Getafe,8977,13863,64.8,170990,76315,4043,5155,78.4,3111,4340,71.7,1417,3219,44.0,14,23.6,24.0,-9.6,261,863,225,102,1090,2020,SP
Granada,9083,13336,68.1,173761,74249,3915,4776,82.0,3574,4629,77.2,1288,2951,43.6,30,26.8,22.6,3.2,224,813,173,58,975,2020,SP
Huesca,13507,17480,77.3,250921,87949,5692,6487,87.7,5785,6818,84.8,1679,3199,52.5,23,26.7,25.3,-3.7,295,898,221,113,1185,2020,SP
Levante,14190,18116,78.3,257005,95976,6356,7202,88.3,5760,6804,84.7,1694,3076,55.1,35,29.6,30.0,5.4,286,1087,306,83,1537,2020,SP
Osasuna,10233,15031,68.1,201352,91555,4401,5541,79.4,3869,5149,75.1,1649,3329,49.5,25,24.9,27.9,0.1,259,968,261,101,1220,2020,SP
Real Madrid,20652,24119,85.6,352965,111437,9790,10620,92.2,7728,8593,89.9,2214,3224,68.7,53,47.4,48.8,5.6,438,1525,401,77,1920,2020,SP
Real Sociedad,14915,18995,78.5,264692,91984,6592,7589,86.9,6282,7368,85.3,1582,2840,55.7,39,39.6,39.7,-0.6,308,1100,343,64,1554,2020,SP
Sevilla,19248,22873,84.2,342985,106478,8654,9471,91.4,7775,8720,89.2,2190,3442,63.6,36,41.0,40.1,-5.0,387,1234,346,122,1627,2020,SP
Valencia,12755,16480,77.4,241622,89245,5332,6142,86.8,5304,6236,85.1,1735,3073,56.5,35,27.3,24.8,7.7,283,926,239,62,1180,2020,SP
Valladolid,11145,15385,72.4,206105,80260,4972,5863,84.8,4299,5283,81.4,1489,3187,46.7,21,24.2,25.7,-3.2,263,873,213,90,1101,2020,SP
Villarreal,17508,21129,82.9,305401,104843,8074,8963,90.1,7097,8015,88.5,1788,2857,62.6,33,40.5,40.7,-7.5,317,1175,358,81,1628,2020,SP
Arminia,10582,14604,72.5,214163,88686,3914,4823,81.2,4806,5879,81.7,1610,3097,52.0,16,23.9,25.4,-7.9,229,795,172,50,880,2020,GE
Augsburg,10257,14168,72.4,193960,77974,4167,5063,82.3,4515,5469,82.6,1322,2716,48.7,23,25.9,22.9,-2.9,245,691,182,56,987,2020,GE
Bayern Munich,18358,22039,83.3,327421,111389,7794,8735,89.2,7997,9011,88.7,1993,3021,66.0,75,55.2,69.4,19.8,461,1578,464,113,2084,2020,GE
Dortmund,18812,22396,84.0,330898,107300,8274,9247,89.5,8007,8942,89.5,1936,2917,66.4,57,51.2,52.4,5.8,389,1374,401,45,1745,2020,GE
Eint Frankfurt,14241,18424,77.3,253275,99451,6399,7455,85.8,6095,7255,84.0,1446,2758,52.4,52,44.0,46.8,8.0,361,1143,301,103,1548,2020,GE
Freiburg,12177,15960,76.3,235666,88608,4649,5516,84.3,5693,6655,85.5,1571,2930,53.6,34,29.5,26.6,4.5,286,858,222,85,1170,2020,GE
