Squad,# Pl,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,season,country
Leverkusen,3,47,2,2,6,1,44.1,0.26,-1.9,-0.06,2021,GE
Mainz 05,2,45,5,0,4,1,41.2,0.29,-2.8,-0.08,2021,GE
RB Leipzig,3,37,3,0,6,1,33.4,0.28,-2.6,-0.08,2021,GE
Stuttgart,2,59,4,1,8,1,53.0,0.31,-5.0,-0.15,2021,GE
Union Berlin,2,44,2,0,5,4,33.9,0.28,-6.1,-0.18,2021,GE
Wolfsburg,2,54,4,1,6,1,53.3,0.31,0.3,0.01,2021,GE
Atalanta,3,48,5,0,3,3,44.2,0.29,-0.8,-0.02,2021,IT
Bologna,3,55,8,1,3,2,56.2,0.26,3.2,0.08,2021,IT
Cagliari,2,68,7,5,10,1,58.8,0.28,-8.2,-0.22,2021,IT
Empoli,1,70,5,1,5,6,65.2,0.28,1.2,0.03,2021,IT
Fiorentina,2,51,3,0,3,2,39.8,0.28,-9.2,-0.24,2021,IT
Genoa,2,60,4,3,7,2,51.6,0.26,-6.4,-0.17,2021,IT
Hellas Verona,3,59,3,2,8,2,48.7,0.29,-8.3,-0.22,2021,IT
Inter,2,32,4,0,3,1,34.8,0.25,3.8,0.1,2021,IT
Juventus,3,37,4,2,6,1,37.1,0.25,1.1,0.03,2021,IT
Lazio,2,58,5,1,5,1,52.2,0.33,-4.8,-0.13,2021,IT
Milan,2,31,4,0,5,2,33.2,0.23,4.2,0.11,2021,IT
Napoli,3,31,1,0,3,1,34.1,0.25,4.1,0.11,2021,IT
Roma,1,43,5,2,5,2,42.2,0.25,1.2,0.03,2021,IT
Salernitana,3,78,6,0,6,2,68.1,0.28,-7.9,-0.21,2021,IT
Sampdoria,3,63,3,1,4,2,55.8,0.28,-5.2,-0.14,2021,IT
Sassuolo,3,66,8,0,11,1,58.5,0.28,-6.5,-0.17,2021,IT
Spezia,3,71,10,3,7,3,60.8,0.24,-7.2,-0.19,2021,IT
Torino,3,41,9,2,4,0,37.1,0.21,-3.9,-0.1,2021,IT
Udinese,2,58,5,0,4,1,52.5,0.29,-4.5,-0.12,2021,IT
Venezia,3,69,11,0,5,2,68.2,0.26,1.2,0.03,2021,IT
América (MG),3,40,2,1,6,1,45.4,0.24,6.4,0.17,2022,BR
Ath Paranaense,2,48,3,2,10,1,52.3,0.29,5.3,0.14,2022,BR
Atl Goianiense,4,57,3,1,10,2,56.5,0.28,1.5,0.04,2022,BR
Atlético Mineiro,2,37,6,0,2,0,37.7,0.26,0.7,0.02,2022,BR
Avaí,3,60,8,1,12,1,59.1,0.29,0.1,0.0,2022,BR
Botafogo (RJ),4,43,4,1,5,1,47.5,0.31,5.5,0.14,2022,BR
Ceará,3,41,5,0,5,0,46.1,0.24,5.1,0.13,2022,BR
Corinthians,3,36,6,0,8,1,39.9,0.22,4.9,0.13,2022,BR
Coritiba,3,60,4,2,9,1,63.0,0.31,4.0,0.11,2022,BR
Cuiabá,2,42,4,0,2,1,56.4,0.31,15.4,0.4,2022,BR
Flamengo,3,39,5,2,4,1,37.9,0.24,-0.1,0.0,2022,BR
Fluminense,1,41,3,1,7,1,45.6,0.29,5.6,0.15,2022,BR
Fortaleza,3,39,4,1,3,2,46.6,0.26,9.6,0.25,2022,BR
Goiás,1,53,7,0,4,0,54.2,0.24,1.2,0.03,2022,BR
Internacional,2,31,4,2,9,0,42.0,0.28,11.0,0.29,2022,BR
Juventude,3,69,6,1,7,3,58.2,0.25,-7.8,-0.2,2022,BR
Palmeiras,3,27,3,2,3,2,32.2,0.24,7.2,0.19,2022,BR
Red Bull Bragantino,2,59,9,1,4,2,56.5,0.28,-0.5,-0.01,2022,BR
Santos,2,41,6,0,2,1,45.5,0.23,5.5,0.15,2022,BR
São Paulo,3,42,6,0,6,0,48.3,0.27,6.3,0.17,2022,BR
Arsenal,1,43,3,0,6,1,40.0,0.28,-2.0,-0.05,2022,EN
Aston Villa,2,46,5,1,9,4,42.8,0.25,0.8,0.02,2022,EN
Bournemouth,2,71,6,0,16,3,63.6,0.29,-4.4,-0.11,2022,EN
Brentford,1,46,2,1,9,3,48.1,0.24,5.1,0.13,2022,EN
