Squad,# Pl,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,season,country
Huesca,2,53,1.4,149,98,67.8,7,13,18,9,23.7,2020,SP
Levante,3,57,1.5,163,108,66.9,9,14,15,4,10.5,2020,SP
Osasuna,3,48,1.3,142,94,69.7,11,11,16,11,28.9,2020,SP
Real Madrid,1,28,0.7,116,88,81.9,25,9,4,17,44.7,2020,SP
Real Sociedad,1,38,1.0,105,67,66.7,17,11,10,14,36.8,2020,SP
Sevilla,2,33,0.9,120,87,75.8,24,5,9,17,44.7,2020,SP
Valencia,2,53,1.4,175,121,72.6,10,13,15,7,18.4,2020,SP
Valladolid,2,57,1.5,161,104,68.3,5,16,17,3,7.9,2020,SP
Villarreal,2,44,1.2,126,83,70.6,15,13,10,10,26.3,2020,SP
Arminia,1,52,1.5,170,118,72.4,9,8,17,11,32.4,2020,GE
Augsburg,1,54,1.6,178,126,73.0,10,6,18,7,20.6,2020,GE
Bayern Munich,2,44,1.3,127,82,66.1,24,6,4,9,26.5,2020,GE
Dortmund,2,46,1.4,136,91,70.6,20,4,10,11,32.4,2020,GE
Eint Frankfurt,2,53,1.6,156,104,68.6,16,12,6,4,11.8,2020,GE
Freiburg,2,52,1.5,175,124,72.6,12,9,13,6,17.6,2020,GE
Gladbach,2,56,1.6,151,95,66.9,13,10,11,7,20.6,2020,GE
Hertha BSC,2,52,1.5,141,89,68.1,8,11,15,9,26.5,2020,GE
Hoffenheim,2,54,1.6,145,91,66.9,11,10,13,6,17.6,2020,GE
Köln,2,60,1.8,158,97,67.1,8,9,17,5,14.7,2020,GE
Leverkusen,3,39,1.2,112,74,66.1,14,10,10,9,26.5,2020,GE
Mainz 05,2,56,1.6,162,107,69.1,10,9,15,5,14.7,2020,GE
RB Leipzig,2,32,0.9,84,52,65.5,19,8,7,15,44.1,2020,GE
Schalke 04,3,86,2.5,234,152,66.2,3,7,24,4,11.8,2020,GE
Stuttgart,2,55,1.6,166,110,69.9,12,9,13,5,14.7,2020,GE
Union Berlin,2,43,1.3,136,93,71.3,12,14,8,7,20.6,2020,GE
Werder Bremen,1,57,1.7,157,101,66.2,7,10,17,6,17.6,2020,GE
Wolfsburg,2,37,1.1,122,84,72.1,17,10,7,14,41.2,2020,GE
Atalanta,2,47,1.2,112,63,62.5,23,9,6,11,28.9,2020,IT
Benevento,2,75,2.0,177,107,59.9,7,12,19,7,18.4,2020,IT
Bologna,3,65,1.7,193,128,69.9,10,11,17,5,13.2,2020,IT
Cagliari,2,59,1.6,203,144,73.4,9,10,19,7,18.4,2020,IT
Crotone,3,92,2.4,216,126,59.7,6,5,27,3,7.9,2020,IT
Fiorentina,2,59,1.6,152,92,66.4,9,13,16,9,23.7,2020,IT
Genoa,3,58,1.5,188,132,72.9,10,12,16,9,23.7,2020,IT
Hellas Verona,3,48,1.3,145,99,71.0,11,12,15,7,18.4,2020,IT
Inter,3,35,0.9,118,82,74.6,28,7,3,14,36.8,2020,IT
Juventus,3,38,1.0,121,82,73.6,23,9,6,8,21.1,2020,IT
Lazio,2,55,1.4,151,98,70.2,21,5,12,12,31.6,2020,IT
Milan,2,41,1.1,133,92,71.4,24,7,7,14,36.8,2020,IT
Napoli,2,41,1.1,123,83,70.7,24,5,9,14,36.8,2020,IT
Parma,2,83,2.2,191,111,58.1,3,11,24,5,13.2,2020,IT
Roma,3,55,1.4,167,114,70.1,18,8,12,11,28.9,2020,IT
Sampdoria,2,54,1.4,174,119,73.0,15,7,16,7,18.4,2020,IT
Sassuolo,2,56,1.5,186,130,72.0,17,11,10,8,21.1,2020,IT
Spezia,3,72,1.9,178,105,64.6,9,12,17,5,13.2,2020,IT
Torino,3,69,1.8,157,88,61.8,7,16,15,8,21.1,2020,IT
