Squad,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,season,country
Real Madrid,58.8,27693,2234,7711,12551,7671,1038,27682,769,484,62.9,285,37.1,17146,92265,47544,951,727,302,518,315,19981,1951,2019,SP
Real Sociedad,56.2,24037,2340,7553,11352,5327,778,24032,591,355,60.1,234,39.6,14006,75872,40635,737,523,149,552,357,15827,1573,2019,SP
Sevilla,57.9,25650,2229,7794,11678,6387,920,25643,667,413,61.9,254,38.1,14440,74929,39085,803,571,211,541,352,17430,1804,2019,SP
Valencia,49.0,21847,2592,7697,9694,4654,638,21839,549,345,62.8,203,37.0,12893,70910,36309,671,491,114,521,283,14386,1367,2019,SP
Valladolid,44.7,19410,2162,6607,9057,3980,480,19404,569,338,59.4,231,40.6,9985,55513,27378,510,403,110,537,324,11102,1096,2019,SP
Villarreal,52.9,24137,2532,7874,11259,5231,772,24126,690,431,62.5,259,37.5,13188,71102,37620,694,518,209,601,310,16111,1472,2019,SP
Augsburg,38.6,16178,2334,6414,6784,3190,508,16173,473,233,49.3,240,50.7,8252,43431,20950,411,281,104,512,304,8347,808,2019,GE
Bayern Munich,65.1,27878,1923,7313,13410,7376,1215,27872,741,480,64.8,261,35.2,17382,92867,49916,930,624,266,515,309,20486,2285,2019,GE
Dortmund,60.4,27633,1949,7849,13650,6343,852,27631,750,468,62.4,282,37.6,16995,85828,43712,792,608,199,494,351,20513,1729,2019,GE
Düsseldorf,45.6,18732,2030,6468,8196,4250,542,18728,453,257,56.7,196,43.3,9240,50961,25340,487,352,97,476,272,11271,1256,2019,GE
Eint Frankfurt,50.9,20419,1985,6428,9309,4903,762,20417,520,330,63.5,190,36.5,10145,57981,30952,677,441,147,523,301,12165,1380,2019,GE
Freiburg,48.1,19615,2565,7346,8247,4202,658,19609,452,249,55.1,203,44.9,10684,59004,30501,537,412,120,521,259,11966,1116,2019,GE
Gladbach,52.4,21776,2267,7659,9822,4533,785,21770,638,387,60.7,251,39.3,13011,67728,35910,650,429,183,491,321,14209,1292,2019,GE
Hertha BSC,44.7,18883,2245,6610,8983,3497,524,18880,526,351,66.7,175,33.3,9692,57323,29175,546,422,123,519,348,11260,1058,2019,GE
Hoffenheim,51.6,21896,2499,8107,9908,4074,701,21892,512,299,58.4,213,41.6,11882,62387,32328,598,400,148,478,324,14282,1250,2019,GE
Köln,46.7,19057,2172,6628,8619,4007,625,19053,450,272,60.4,179,39.8,9961,52875,25869,494,342,92,570,299,11110,1145,2019,GE
Leverkusen,63.2,26856,2245,7685,14063,5334,845,26854,710,450,63.4,260,36.6,15221,81517,40657,761,575,217,600,360,18938,1463,2019,GE
Mainz 05,43.2,18148,2210,6311,7907,4161,635,18145,614,379,61.7,235,38.3,9831,54963,28563,524,399,128,600,346,10146,1133,2019,GE
Paderborn 07,45.9,19472,2478,7836,8041,3854,551,19468,689,382,55.4,307,44.6,10969,65414,33453,682,435,174,655,362,11400,993,2019,GE
RB Leipzig,55.3,24052,2074,6715,11858,5694,917,24047,623,388,62.3,235,37.7,13506,70728,38909,759,509,223,560,320,16137,1685,2019,GE
Schalke 04,49.0,19874,2237,6728,9032,4373,597,19872,687,421,61.3,266,38.7,10821,63707,32858,603,450,139,625,417,11915,1191,2019,GE
Union Berlin,41.9,17693,2129,6444,7580,3871,555,17688,456,259,56.8,197,43.2,8742,45422,22165,387,323,85,509,248,9350,929,2019,GE
Werder Bremen,48.8,20589,2279,6731,9795,4255,634,20583,470,259,55.1,211,44.9,12593,59550,29999,509,408,111,552,326,12816,1304,2019,GE
Wolfsburg,48.4,19700,1974,6269,8974,4673,693,19696,612,352,57.5,260,42.5,10467,56332,29899,620,449,148,545,373,11512,1234,2019,GE
Atalanta,57.2,26093,1876,6557,12183,7584,1117,26083,616,347,56.3,267,43.3,16491,84807,43655,978,780,256,595,358,17836,1854,2019,IT
Bologna,52.6,22738,2314,6600,10533,5822,794,22732,628,349,55.6,278,44.3,13270,75441,38917,799,556,203,617,331,14486,1649,2019,IT
Brescia,40.6,18739,2524,6842,7804,4306,653,18735,450,275,61.1,175,38.9,9591,55133,30316,537,385,86,557,316,10769,1231,2019,IT
Cagliari,45.7,21020,2568,7154,9248,4843,586,21015,538,324,60.2,214,39.8,11102,64793,34422,662,564,100,543,337,13049,1278,2019,IT
