Squad,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,season,country
Schalke 04,46.0,17260,2252,6541,7024,3912,677,17255,515,198,38.4,250,48.5,8384,42807,19961,415,295,66,513,274,9126,928,2022,GE
Stuttgart,50.2,20930,2407,7525,9226,4438,738,20925,734,337,45.9,319,43.5,11707,63068,31698,609,440,161,563,336,13345,1261,2022,GE
Union Berlin,43.8,17952,2108,6656,7246,4222,622,17945,415,182,43.9,180,43.4,9245,45321,21951,375,228,90,435,244,10177,990,2022,GE
Werder Bremen,49.3,20465,2390,7294,9382,3965,671,20459,516,233,45.2,228,44.2,10736,52169,25197,412,317,104,503,246,12329,1130,2022,GE
Wolfsburg,50.6,20053,2304,7013,8781,4423,694,20046,600,256,42.7,268,44.7,11350,55720,28117,455,301,103,560,272,12444,1294,2022,GE
Atalanta,49.9,23862,2217,7478,10221,6382,956,23854,785,340,43.3,355,45.2,13148,67208,33188,687,565,210,619,387,15359,1628,2022,IT
Bologna,54.7,24552,2551,8483,11383,4893,592,24546,567,265,46.7,243,42.9,14223,70806,35047,564,487,113,582,305,16622,1358,2022,IT
Cremonese,42.1,19346,2538,7184,8051,4334,678,19339,569,237,41.7,251,44.1,9843,51780,26321,521,394,101,553,297,10770,1100,2022,IT
Empoli,47.3,21188,2962,8175,8766,4485,674,21186,705,313,44.4,311,44.1,11736,64438,31714,608,452,135,552,372,13050,1105,2022,IT
Fiorentina,56.1,23123,2028,6652,10361,6366,977,23117,704,323,45.9,273,38.8,13434,77635,39528,789,601,194,572,345,15234,1607,2022,IT
Hellas Verona,41.2,18056,2231,6320,7844,4147,636,18055,627,274,43.7,275,43.9,8665,47590,22382,503,359,103,577,329,9350,1051,2022,IT
Inter,55.7,25128,2720,8300,11127,5922,953,25123,494,216,43.7,200,40.5,14972,75152,38723,668,492,141,505,261,17526,1613,2022,IT
Juventus,49.6,22810,2432,7514,10435,5077,817,22804,625,291,46.6,255,40.8,12888,66636,34490,673,496,145,583,350,15118,1389,2022,IT
Lazio,52.1,25453,2536,8100,12315,5243,769,25445,612,285,46.6,239,39.1,14379,73160,36610,683,484,182,528,290,18009,1368,2022,IT
Lecce,41.3,18839,2129,6291,8105,4660,606,18833,559,240,42.9,245,43.8,9288,51809,25326,515,366,119,626,329,9976,1219,2022,IT
Milan,55.6,23856,2177,7373,11143,5617,891,23851,800,368,46.0,324,40.5,13802,78895,41728,795,584,182,595,320,15792,1576,2022,IT
Monza,55.2,24603,2753,8855,11185,4768,680,24597,596,282,47.3,237,39.8,14329,79216,38961,708,500,152,575,309,17052,1350,2022,IT
Napoli,61.8,28410,2012,7168,13935,7548,1084,28400,798,337,42.2,361,45.2,17977,89551,46645,907,663,237,566,339,20948,1789,2022,IT
Roma,48.6,21861,2055,7183,10374,4566,789,21851,677,274,40.5,315,46.5,12407,68172,34789,684,490,170,559,318,14018,1198,2022,IT
Salernitana,44.9,20527,2604,7592,9096,4060,495,20525,599,264,44.1,261,43.6,11169,57765,27404,519,409,86,564,303,12529,1076,2022,IT
Sampdoria,46.1,20460,2511,7278,9134,4272,585,20458,543,260,47.9,222,40.9,11329,55044,26171,466,354,82,572,335,12492,1118,2022,IT
Sassuolo,49.2,22100,2484,7486,9584,5249,817,22090,653,299,45.8,270,41.3,13042,71240,36974,761,527,204,533,364,14664,1552,2022,IT
Spezia,47.4,20952,2701,7867,8357,4959,692,20948,653,278,42.6,304,46.6,10996,60775,29636,553,397,114,659,366,12304,1156,2022,IT
Torino,53.2,23243,2286,7273,10798,5380,733,23241,668,303,45.4,276,41.3,13094,71281,34612,684,527,182,618,314,15247,1317,2022,IT
Udinese,48.0,21183,2463,7415,9101,4912,849,21181,770,330,42.9,350,45.5,12105,65755,33221,646,461,163,641,336,13268,1344,2022,IT
América (MG),43.0,19684,2157,6159,8824,4983,767,19678,752,361,48.0,315,41.9,10717,63521,33084,638,475,131,570,305,11376,1368,2023,BR
Ath Paranaense,48.5,21081,2178,6475,9972,4850,764,21077,673,344,51.1,267,39.7,11383,59033,29355,592,447,124,538,314,13041,1350,2023,BR
Atlético Mineiro,52.7,23506,2370,6974,11511,5279,642,23500,745,386,51.8,285,38.3,13672,73437,39054,669,552,146,577,362,15371,1387,2023,BR
Bahia,49.6,21858,2132,6538,10216,5355,748,21854,742,362,48.8,316,42.6,12253,67016,35897,688,539,121,575,305,13734,1494,2023,BR
Botafogo (RJ),48.1,21771,2064,6292,10671,5045,710,21764,798,387,48.5,324,40.6,12252,68829,34571,658,488,147,564,314,13796,1423,2023,BR
Corinthians,48.8,23228,2624,7681,10961,4801,621,23221,727,319,43.9,316,43.5,13334,66409,34274,649,461,121,535,237,15367,1366,2023,BR
Coritiba,43.9,19990,2496,7102,8900,4249,556,19981,809,393,48.6,326,40.3,10787,58728,29667,551,416,109,595,326,11717,1134,2023,BR
Cruzeiro,51.4,22260,2126,6452,10305,5733,682,22257,749,375,50.1,304,40.6,12539,68424,36621,636,490,131,583,291,14213,1636,2023,BR
Cuiabá,43.7,20078,2121,6179,9388,4728,595,20070,637,337,52.9,218,34.2,10754,58930,31423,577,451,112,583,293,12350,1349,2023,BR
Flamengo,57.4,25693,2159,6779,12312,6844,890,25684,815,409,50.2,327,40.1,15900,82041,43380,713,619,153,540,343,18086,1939,2023,BR
Fluminense,61.5,26737,2826,8645,11787,6537,779,26732,932,486,52.1,349,37.4,17303,87480,49595,847,603,167,547,357,19379,1615,2023,BR
Fortaleza,46.6,20510,1819,5635,10148,4982,761,20503,733,375,51.2,283,38.6,11470,66783,35390,695,482,162,475,308,12601,1444,2023,BR
Goiás,44.6,20123,2519,6843,8790,4692,667,20118,678,327,48.2,284,41.9,10517,56439,30656,523,431,103,574,351,12036,1275,2023,BR
Grêmio,46.7,21562,2132,5891,9976,5907,781,21555,736,359,48.8,313,42.5,11563,57745,29595,541,473,140,574,317,13197,1529,2023,BR
Internacional,51.6,23225,2098,6573,11777,5083,698,23221,710,363,51.1,274,38.6,13428,70277,36320,618,505,131,542,294,15431,1375,2023,BR
Palmeiras,52.7,22082,2045,6482,10284,5556,803,22078,752,391,52.0,280,37.2,12846,71906,38686,788,563,174,527,283,14426,1583,2023,BR
Red Bull Bragantino,56.5,23580,1927,5931,10693,7202,870,23577,878,436,49.7,357,40.7,13242,71527,37053,721,614,166,655,380,14466,1752,2023,BR
Santos,44.4,19772,2018,6241,9013,4780,701,19766,842,392,46.6,352,41.8,10768,63461,32663,709,514,155,532,338,11634,1222,2023,BR
São Paulo,59.5,25509,2379,7557,12451,5732,766,25500,883,467,52.9,332,37.6,15476,78721,40197,694,541,138,506,360,18077,1655,2023,BR
Vasco da Gama,48.8,21555,2262,6854,9975,5010,722,21551,792,393,49.6,331,41.8,12358,68451,35588,664,514,119,541,284,13606,1345,2023,BR
Arsenal,58.2,26493,1974,6714,11407,8560,1480,26483,671,283,42.2,304,45.3,16297,81171,41510,821,575,327,525,375,18917,2088,2023,EN
Aston Villa,53.1,23058,2807,8170,9636,5459,1010,23054,757,345,45.6,315,41.6,14450,78599,41219,775,490,217,477,416,15823,1438,2023,EN
Bournemouth,44.4,20700,2486,6820,8469,5686,1033,20697,872,382,43.8,414,47.5,11015,66369,34635,709,513,240,637,386,11771,1296,2023,EN
Brentford,45.2,21227,2878,7944,8253,5210,982,21224,577,243,42.1,269,46.6,10970,56621,29411,505,363,156,556,271,12416,1276,2023,EN
Brighton,59.8,29112,3197,9449,13090,6766,1081,29106,715,297,41.5,322,45.0,19020,92960,48884,864,584,269,579,342,21577,1767,2023,EN
Burnley,47.4,22181,2907,8021,9196,5155,819,22178,699,300,42.9,329,47.1,12244,66914,35421,727,460,240,517,296,13779,1162,2023,EN
Chelsea,58.6,27725,3035,9367,12068,6558,1039,27713,869,398,45.8,365,42.0,16624,84615,44082,873,543,291,604,370,19899,1600,2023,EN
Crystal Palace,42.3,21367,2349,7237,9279,5077,797,21363,737,341,46.3,320,43.4,10943,55546,26838,506,383,170,606,426,12811,1161,2023,EN
Everton,40.8,20053,2568,6792,8180,5283,809,20050,564,250,44.3,267,47.3,9770,52160,25904,495,389,127,560,320,11254,1119,2023,EN
Fulham,50.6,24318,2792,8619,10359,5568,849,24316,550,271,49.3,232,42.2,13883,72675,36777,670,508,151,520,325,16183,1452,2023,EN
Liverpool,61.3,28764,2193,7390,13756,7869,1422,28755,737,331,44.9,331,44.9,17894,92424,48244,924,694,295,574,407,20230,2091,2023,EN
Luton Town,42.4,19656,2630,7028,7906,4964,780,19651,771,354,45.9,331,42.9,10070,59990,29813,675,480,169,580,385,10911,1094,2023,EN
Manchester City,65.2,31414,2162,7012,14348,10260,1466,31404,731,377,51.6,282,38.6,20210,105397,58071,1127,867,415,441,356,24343,2032,2023,EN
Manchester Utd,50.6,23997,2938,8197,9856,6145,1025,23990,697,311,44.6,303,43.5,13976,75395,39607,759,523,275,484,342,15594,1467,2023,EN
Newcastle Utd,52.2,24004,2447,8084,10144,6004,1094,23996,730,355,48.6,288,39.5,13649,73443,36585,737,507,243,506,400,15994,1545,2023,EN
Nott'ham Forest,40.6,20118,2495,7340,8310,4686,785,20117,603,275,45.6,268,44.4,10216,54782,29231,604,396,156,527,286,11779,1122,2023,EN
Sheffield Utd,35.8,17940,2814,7150,7140,3830,646,17935,578,250,43.3,285,49.3,8313,43259,20339,343,287,127,489,323,9445,874,2023,EN
Tottenham,61.6,28529,2791,8519,12260,8011,1316,28527,812,359,44.2,363,44.7,18081,92767,46593,957,634,349,559,375,20481,2097,2023,EN
West Ham,41.1,20875,2605,7301,9100,4692,750,20869,745,353,47.4,321,43.1,11184,60658,28802,556,369,168,515,397,12459,1192,2023,EN
Wolves,48.9,23485,2823,8674,10262,4804,739,23481,823,415,50.4,324,39.4,13056,71348,36731,671,519,168,536,389,15350,1163,2023,EN
Alavés,41.8,18179,2162,6122,7564,4706,764,18172,625,310,49.6,254,40.6,8574,48049,25494,550,364,138,572,299,9972,1252,2023,SP
Almería,46.4,20902,2654,7711,9323,4094,614,20900,667,299,44.8,314,47.1,11128,59196,30444,590,424,132,550,269,12660,1082,2023,SP
Athletic Club,49.8,22845,1965,6376,10617,6083,901,22839,743,338,45.5,349,47.0,12487,65998,34507,735,528,193,571,366,14367,1596,2023,SP
Atlético Madrid,50.8,24749,2368,7880,11405,5662,954,24743,567,297,52.4,227,40.0,14402,72549,38491,758,546,181,533,303,16931,1580,2023,SP
Barcelona,64.3,28717,2191,7360,14262,7313,1077,28710,826,384,46.5,338,40.9,17768,96311,54148,964,728,262,605,305,21296,1911,2023,SP
Betis,50.4,23335,2339,7497,10512,5555,886,23332,793,386,48.7,329,41.5,13053,68844,34142,676,495,186,626,427,15184,1424,2023,SP
Cádiz,43.3,19166,2242,6375,8425,4551,570,19163,537,230,42.8,263,49.0,9664,52345,25428,456,422,76,571,343,10662,996,2023,SP
Celta Vigo,46.1,22062,2314,7084,9675,5538,818,22057,646,295,45.7,291,45.0,12540,63894,32693,660,489,162,600,336,13773,1332,2023,SP
Getafe,44.8,19243,2020,5619,8971,4848,684,19236,552,239,43.3,261,47.3,9360,49101,24618,439,385,122,576,281,10603,1124,2023,SP
Girona,56.9,25779,2695,8432,11583,5985,977,25771,745,353,47.4,297,39.9,16055,90323,46626,894,599,234,584,376,18610,1673,2023,SP
Granada,45.6,20152,2413,7720,8677,3997,667,20144,658,303,46.0,296,45.0,10969,57198,28813,512,379,112,600,305,12010,1030,2023,SP
Las Palmas,59.2,27041,2667,9077,12876,5282,614,27036,680,316,46.5,308,45.3,15544,71689,36286,577,459,116,645,365,18955,1573,2023,SP
Mallorca,45.0,19767,2279,6620,8961,4390,672,19764,511,251,49.1,219,42.9,9848,53864,26398,498,377,108,566,313,11353,1155,2023,SP
Osasuna,47.5,21181,2147,6244,9526,5586,720,21176,530,237,44.7,247,46.6,10522,54022,25894,501,408,97,540,283,12730,1306,2023,SP
Rayo Vallecano,49.4,21757,2306,7210,9672,5091,669,21751,653,283,43.3,306,46.9,10906,56132,26844,506,368,116,634,373,13171,1327,2023,SP
Real Madrid,59.2,28670,2455,7880,13241,7813,1156,28665,889,401,45.1,393,44.2,18483,97637,52448,950,802,315,480,312,21642,1923,2023,SP
Real Sociedad,55.3,23321,2214,6934,11207,5377,769,23317,681,321,47.1,284,41.7,12972,71091,36540,685,465,175,612,351,15092,1402,2023,SP
Sevilla,50.3,22878,2261,7429,10033,5651,746,22876,632,292,46.2,278,44.0,12225,64805,32942,635,447,146,620,280,14506,1406,2023,SP
Valencia,44.3,20444,2323,7222,9012,4440,593,20435,644,276,42.9,294,45.7,10723,56085,28187,522,399,136,582,318,12130,1151,2023,SP
Villarreal,49.6,22729,2879,8003,9685,5250,848,22722,723,351,48.5,329,45.5,12248,68209,34560,654,491,189,570,356,15179,1548,2023,SP
Augsburg,43.9,18129,2132,6226,7677,4413,795,18122,531,235,44.3,255,48.0,9497,50634,24795,462,313,91,533,236,10394,1122,2023,GE
Bayern Munich,61.3,26644,2111,7127,12412,7367,1214,26639,907,481,53.0,374,41.2,16452,93322,49960,944,704,276,468,357,19847,1926,2023,GE
Bochum,46.6,18361,2175,5905,8082,4546,787,18357,436,186,42.7,209,47.9,8480,42524,20687,400,292,91,494,280,9653,1140,2023,GE
Darmstadt 98,45.7,19009,2407,7114,8147,3897,566,19006,440,192,43.6,220,50.0,9943,51709,26088,437,310,99,470,230,11700,1073,2023,GE
Dortmund,57.8,24316,2558,8082,11083,5366,901,24310,712,321,45.1,312,43.8,14643,79408,41055,770,565,229,532,329,17002,1436,2023,GE
Eint Frankfurt,52.1,22762,2453,7846,10620,4523,815,22759,640,281,43.9,326,50.9,13004,64135,31792,574,391,176,523,298,14898,1294,2023,GE
Freiburg,46.6,19706,2362,6698,9055,4130,653,19697,518,221,42.7,237,45.8,10673,57954,28611,468,383,94,452,240,12176,1189,2023,GE
Gladbach,46.8,20954,2559,7900,9058,4189,720,20948,550,237,43.1,261,47.5,12077,60157,30940,598,435,153,429,320,13427,1217,2023,GE
Heidenheim,42.5,18405,2361,6987,7570,4058,637,18402,530,223,42.1,266,50.2,9120,52754,26313,510,361,90,549,279,10152,976,2023,GE
Hoffenheim,49.5,20983,2561,6920,9475,4742,752,20977,542,220,40.6,267,49.3,11630,59332,30284,538,401,144,477,241,13325,1351,2023,GE
Köln,46.5,19356,2274,7028,8252,4318,668,19350,524,246,46.9,236,45.0,10380,57764,29156,618,439,141,472,292,11521,1081,2023,GE
Leverkusen,61.8,27830,1703,5847,14080,8122,1168,27822,727,348,47.9,328,45.1,16677,86657,46901,888,676,242,483,333,21041,1979,2023,GE
Mainz 05,46.1,19212,2023,6417,8450,4536,807,19207,601,269,44.8,269,44.8,9023,46790,22024,480,314,135,537,285,10854,1155,2023,GE
RB Leipzig,55.3,23320,1985,6900,11365,5276,918,23313,633,322,50.9,238,37.6,14158,71290,37973,714,543,177,488,332,16170,1530,2023,GE
Stuttgart,59.9,26204,2322,7298,13251,5858,898,26196,673,334,49.6,279,41.5,15113,75798,37881,693,545,191,561,329,18993,1602,2023,GE
Union Berlin,42.9,18929,2344,7065,7881,4179,687,18923,506,217,42.9,260,51.4,9123,47015,23793,389,297,112,549,293,10894,1132,2023,GE
Werder Bremen,46.8,20347,2574,7617,9015,3923,672,20341,556,253,45.5,262,47.1,11241,58514,29365,492,367,108,541,263,12715,1163,2023,GE
Wolfsburg,48.0,20363,2187,6900,9104,4524,655,20360,481,202,42.0,235,48.9,11147,54291,25908,441,329,105,521,261,12976,1226,2023,GE
Atalanta,51.0,24136,2222,7494,10658,6186,912,24131,618,286,46.3,270,43.7,13093,68816,34111,715,519,175,621,377,15915,1733,2023,IT
Bologna,58.1,26519,2580,8682,12696,5367,718,26514,673,293,43.5,322,47.8,15952,85775,42240,660,485,149,542,311,18969,1441,2023,IT
Cagliari,42.1,18599,2190,6532,7916,4352,669,18593,516,237,45.9,220,42.6,9241,50744,25755,529,339,111,545,338,10603,1097,2023,IT
Empoli,44.0,19509,2513,7254,8232,4223,643,19504,578,226,39.1,285,49.3,10396,56471,27643,524,356,142,543,304,11485,1049,2023,IT
Fiorentina,57.4,23659,2134,6769,10823,6269,911,23651,626,279,44.6,277,44.2,13983,74368,35906,621,541,162,543,331,15980,1640,2023,IT
Frosinone,49.7,21725,2575,7362,9638,4917,700,21715,709,297,41.9,349,49.2,11251,59970,29042,563,414,147,578,348,13600,1308,2023,IT
Genoa,44.1,19810,2525,7228,8554,4197,577,19804,450,193,42.9,200,44.4,10592,55859,27300,468,367,83,577,293,11911,1061,2023,IT
Hellas Verona,44.4,18925,2169,6433,8621,4096,598,18918,567,252,44.4,261,46.0,9744,53152,24445,539,383,113,595,284,10514,1108,2023,IT
Inter,57.1,26069,2583,8234,11755,6248,1016,26055,435,195,44.8,190,43.7,15793,76609,39147,720,568,163,474,230,18981,1603,2023,IT
Juventus,48.5,22069,2211,6537,10295,5425,881,22064,596,259,43.5,269,45.1,12535,68465,35950,709,501,183,553,307,14597,1451,2023,IT
Lazio,53.3,24841,2339,7512,12114,5447,774,24837,607,272,44.8,269,44.3,13267,72311,37906,716,521,143,507,243,17337,1521,2023,IT
Lecce,44.9,19618,2360,6793,8875,4210,664,19613,651,299,45.9,279,42.9,10797,63586,32668,635,429,152,605,357,11613,1171,2023,IT
Milan,56.9,24529,2325,7582,11624,5538,941,24521,765,359,46.9,324,42.4,15356,89172,47767,898,648,228,520,293,17457,1557,2023,IT
Monza,53.5,23552,2841,8296,10598,4849,712,23547,490,216,44.1,216,44.1,14512,79964,40662,723,556,165,519,265,16564,1236,2023,IT
Napoli,60.9,26724,2080,7134,12990,6831,1045,26714,744,327,44.0,344,46.2,15781,85638,42383,803,627,195,490,293,19330,1745,2023,IT
Roma,54.9,23999,2517,7747,11359,5055,803,23987,486,221,45.5,218,44.9,14345,75993,38939,682,532,164,433,271,16912,1461,2023,IT
Salernitana,44.5,19903,2438,6768,9074,4256,571,19901,536,212,39.6,269,50.2,10347,55274,25773,499,391,115,560,304,12016,1106,2023,IT
Sassuolo,43.8,19492,2317,6391,8488,4817,713,19484,580,277,47.8,252,43.4,10364,60707,31154,636,455,157,538,332,11857,1292,2023,IT
Torino,51.6,21921,2352,7011,10078,5040,678,21919,563,244,43.3,247,43.9,12779,69684,33416,710,463,123,547,272,14373,1309,2023,IT
Udinese,39.3,17831,2310,6522,7634,3962,602,17827,721,336,46.6,314,43.6,9261,54189,27514,601,415,138,645,335,9871,1011,2023,IT
