Squad,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,season,country
Real Sociedad,20229,18172,1979,598,54,115,719,868,181,99,33,2,15989,78,376,2019,SP
Sevilla,21733,19673,1968,553,30,384,880,837,226,72,79,6,17525,92,350,2019,SP
Valencia,18258,16284,1874,591,46,238,677,688,169,54,70,8,14490,100,257,2019,SP
Valladolid,15457,13389,1987,574,24,214,645,806,161,62,56,0,11187,81,293,2019,SP
Villarreal,20045,18098,1876,510,42,267,619,804,148,53,57,0,16218,71,290,2019,SP
Augsburg,12287,10461,1745,441,18,118,479,772,133,59,60,0,8439,81,339,2019,GE
Bayern Munich,24273,22488,1707,444,69,180,850,767,240,91,100,0,20587,78,347,2019,GE
Dortmund,24071,22420,1595,410,63,188,510,694,190,64,77,2,20601,56,353,2019,GE
Düsseldorf,15164,13381,1727,493,19,225,705,730,148,27,98,0,11367,56,296,2019,GE
Eint Frankfurt,16602,14737,1808,457,16,126,892,813,213,64,120,1,12302,57,375,2019,GE
Freiburg,15762,13890,1816,454,31,152,649,766,151,96,35,1,12085,56,349,2019,GE
Gladbach,17974,16127,1756,488,52,107,570,742,172,90,48,2,14321,91,305,2019,GE
Hertha BSC,14961,13249,1655,423,13,184,527,742,125,37,72,2,11361,57,302,2019,GE
Hoffenheim,17932,16146,1725,472,40,89,579,700,174,58,98,3,14392,61,339,2019,GE
Köln,15108,13248,1785,475,33,106,708,735,175,77,79,2,11195,75,314,2019,GE
Leverkusen,22954,21080,1782,475,40,124,713,782,215,127,68,2,19042,92,368,2019,GE
Mainz 05,13997,12153,1774,435,38,108,615,751,174,74,89,1,10245,70,249,2019,GE
Paderborn 07,15172,13237,1873,422,21,172,572,885,176,80,69,2,11502,62,415,2019,GE
RB Leipzig,20063,18285,1700,466,48,117,628,738,188,92,67,1,16241,78,363,2019,GE
Schalke 04,15752,13909,1762,445,33,105,472,807,152,17,110,2,12014,81,332,2019,GE
Union Berlin,13664,11861,1739,439,13,47,628,796,137,65,61,2,9451,64,317,2019,GE
Werder Bremen,16729,14830,1846,528,17,101,601,745,160,68,78,2,12893,53,350,2019,GE
Wolfsburg,15677,13799,1806,444,37,138,651,876,167,51,73,6,11610,72,344,2019,GE
Atalanta,21860,19949,1861,577,40,163,767,715,248,83,132,0,17945,50,354,2019,IT
Bologna,18465,16401,1979,618,28,134,733,736,228,155,21,2,14608,85,329,2019,IT
Brescia,14648,12511,2069,644,22,160,641,784,160,44,76,1,10833,68,327,2019,IT
Cagliari,16868,14891,1921,562,24,167,762,749,154,63,67,1,13131,56,289,2019,IT
Fiorentina,17172,15265,1857,576,41,173,726,705,209,70,112,0,13589,50,313,2019,IT
Genoa,18157,16145,1955,555,13,142,723,782,166,51,71,0,14305,57,329,2019,IT
Hellas Verona,17641,15621,1929,555,29,94,750,734,207,83,112,0,13348,91,310,2019,IT
Inter,20842,18974,1772,469,20,243,790,704,235,92,65,1,17232,96,348,2019,IT
Juventus,23408,21548,1787,509,54,209,698,713,235,74,105,1,20149,73,299,2019,IT
Lazio,19415,17695,1649,449,63,186,741,610,218,72,102,0,15875,71,327,2019,IT
Lecce,17104,15195,1842,563,16,208,711,600,182,15,27,1,13640,67,336,2019,IT
Milan,20701,18774,1864,548,41,178,713,746,208,85,78,0,17070,63,300,2019,IT
Napoli,24596,22677,1865,604,36,187,813,712,222,81,93,2,21173,54,340,2019,IT
Parma,15756,13796,1900,524,19,204,597,735,166,79,57,2,12193,60,275,2019,IT
Roma,19325,17490,1790,522,57,213,781,664,267,58,162,1,15972,45,289,2019,IT
