Squad,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,season,country
Sampdoria,15949,13988,1898,556,28,120,814,735,195,96,67,0,11918,63,306,2019,IT
Sassuolo,21873,19942,1867,621,46,117,562,677,207,118,68,1,18601,64,296,2019,IT
SPAL,16878,14912,1913,596,12,130,693,691,158,63,65,1,13281,53,321,2019,IT
Torino,16330,14310,1957,611,14,182,756,706,180,54,34,1,12572,63,318,2019,IT
Udinese,16971,15127,1779,470,19,151,730,664,200,73,55,0,13373,65,311,2019,IT
Ath Paranaense,19615,17627,1920,573,9,238,659,776,171,69,93,0,16215,68,315,2020,BR
Atl Goianiense,15836,13661,2121,642,14,150,810,822,231,71,111,1,12096,54,351,2020,BR
Atlético Mineiro,23076,21103,1899,543,30,155,883,797,251,112,108,0,19269,74,307,2020,BR
Bahia,16850,14852,1944,599,22,100,751,735,217,83,97,3,13366,54,351,2020,BR
Botafogo (RJ),17068,15075,1939,607,16,126,757,706,200,67,100,0,13651,54,311,2020,BR
Ceará,15342,13456,1831,531,15,117,607,745,167,57,100,0,11805,55,278,2020,BR
Corinthians,18282,16147,2084,596,20,138,741,837,223,65,122,12,14399,51,319,2020,BR
Coritiba,17018,14984,1977,639,13,144,630,741,154,60,84,0,13559,57,336,2020,BR
Flamengo,22186,20235,1895,673,39,184,783,705,218,67,95,4,18680,56,326,2020,BR
Fluminense,17500,15554,1893,677,13,142,647,684,167,70,91,0,13994,53,304,2020,BR
Fortaleza,17297,15413,1827,595,13,185,600,682,160,73,74,2,13999,57,276,2020,BR
Goiás,14746,12777,1915,608,15,134,600,702,122,50,66,1,11101,54,280,2020,BR
Grêmio,20153,18261,1851,620,27,101,668,702,190,50,69,1,16727,41,331,2020,BR
Internacional,17420,15423,1936,600,24,142,779,778,210,80,106,2,13561,61,324,2020,BR
Palmeiras,18595,16658,1861,596,25,193,773,701,209,47,132,0,15040,76,277,2020,BR
Red Bull Bragantino,17687,15673,1973,552,18,172,820,828,239,179,28,2,13842,41,338,2020,BR
Santos,16493,14420,2009,717,8,115,741,686,212,107,34,3,12965,64,286,2020,BR
São Paulo,21467,19483,1926,616,13,134,896,770,199,81,101,7,17906,58,352,2020,BR
Sport Recife,16277,14261,1963,611,5,100,675,744,158,44,90,1,12552,53,357,2020,BR
Vasco da Gama,16771,14787,1930,649,14,156,643,731,164,71,68,3,13379,54,318,2020,BR
Arsenal,21807,20122,1624,440,34,133,751,663,207,86,64,12,18041,61,311,2020,EN
Aston Villa,16996,15003,1922,590,12,127,779,780,213,106,39,15,12938,71,275,2020,EN
Brighton,19871,18111,1708,404,17,164,686,769,219,71,107,2,15772,52,313,2020,EN
Burnley,15562,13737,1745,461,10,110,772,721,172,154,5,1,10825,80,263,2020,EN
Chelsea,25799,24055,1665,402,29,154,749,732,226,77,113,2,21969,79,362,2020,EN
